"State","Detached","Branch","Path"
"dirty","False","hotfix/hr-routebeheer-self-serve","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/hotfix-hr-routebeheer-self-serve"
"clean","False","hotfix/reveal-children-optional","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/hotfix-reveal-children"
"clean","False","hotfix/routebeheer-admin-card","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/hotfix-routebeheer-live"
"clean","False","feat/hr-cockpit-structure","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/impl-hr-cockpit-structure"
"clean","False","feat/hr-reports-structure","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/impl-hr-reports-structure"
"clean","False","feat/hr-results-structure","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/impl-hr-results-structure"
"clean","False","feat/hr-routebeheer-structure-clean","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/impl-hr-routebeheer-structure"
"clean","False","codex/insight-to-action-generator","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/insight-to-action-generator"
"clean","True","","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/insights-live-release"
"dirty","False","codex/kennismaking-live-fix","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/kennismaking-live-fix"
"clean","False","codex/launch-communications-reminders","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/launch-communications-reminders"
"dirty","False","codex/leadership-shell-correction","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/leadership-shell-correction"
"clean","False","codex/leadership-to-5","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/leadership-to-5"
"clean","False","codex/lh-hardening-run","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/lh-hardening-run"
"clean","False","codex/live-copy-commercial-pass","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/live-copy-commercial-pass"
"clean","False","codex/live-copy-commercial-release","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/live-copy-commercial-release"
"clean","True","","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/live-dashboard-filter-qa"
"clean","False","codex/live-dashboard-suite-pass-main-20260510","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/live-dashboard-suite-pass-main-20260510"
"dirty","True","","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/live-deploy-36ee0d4"
"dirty","True","","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/live-deploy-8d6eb55"
"clean","False","codex/live-hero-promote","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/live-hero-promote"
"clean","False","codex/live-marketing-fix-promote","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/live-marketing-fix-promote"
"clean","True","","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/live-promote-homepage-colors"
"clean","True","","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/live-promote-homepage-polish"
"clean","True","","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/live-promote-product-pages-v2"
"clean","False","codex/live-route-tasklist-main-20260511","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/live-route-tasklist-main-20260511"
"clean","False","codex/live-suite-rollout","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/live-suite-rollout"
"clean","False","codex/loep-rebrand-live","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/loep-rebrand-live"
"dirty","False","codex/loep-visual-rebrand","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/loep-visual-rebrand"
"dirty","False","codex/loveable-homepage-clone","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/loveable-homepage-clone"
"clean","False","codex/main-environment-closeout","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/main-environment-closeout"
"dirty","False","codex/main-marketing-sync","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/main-marketing-sync"
"clean","False","codex/main-readiness-review","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/main-readiness-review"
"clean","False","codex/main-reconciliation","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/main-reconciliation"
"clean","False","codex/main-reconciliation-implementation","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/main-reconciliation-implementation"
"clean","False","codex/marketing-canon-preview-implementation","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/marketing-canon-preview-implementation"
"clean","False","codex/marketing-live-fix-preview","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/marketing-live-fix-preview"
"clean","False","codex/marketing-visual-system-preview","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/marketing-visual-system-preview"
"clean","False","codex/marketing-visual-system-release","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/marketing-visual-system-release"
"clean","False","codex/merge-pr78-main","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/merge-pr78-main"
"clean","False","codex/motion-reveal-debug","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/motion-reveal-debug"
"clean","True","","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/motion-reveal-release"
"clean","False","codex/noncore-final-sweep","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/noncore-final-sweep"
"clean","False","codex/noncore-report-normalization","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/noncore-report-normalization"
"dirty","False","codex/onboarding-route-readiness","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/onboarding-route-readiness"
"dirty","False","codex/onboarding-shell-correction","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/onboarding-shell-correction"
"clean","False","codex/onboarding-to-5","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/onboarding-to-5"
